job_name,best_overlap,true_overlap,section
P03496_full_1-230_Q14258_TPCCR_217-350_A_64,1.0,1.0,AFminD (30)
P03496_full_1-230_Q14258_TPCCR_217-350_A_64,1.0,1.0,AFminD (30)
P03496_full_1-230_Q14258_TPCCR_217-350_A_101,1.0,1.0,AFminD (30)
P03496_full_1-230_Q14258_TPCCR_217-350_A_136,1.0,3.0,AFminD (30)
P03496_full_1-230_Q14258_TPCCR_217-350_A_136,1.0,3.0,AFminD (30)
P03496_full_1-230_Q14258_TPCCR_217-350_A_136,1.0,3.0,AFminD (30)
P03496_full_1-230_Q14258_TPCCR_217-350_A_136,1.0,3.0,AFminD (30)
P03496_full_1-230_Q14258_TPCCR_217-350_A_136,1.0,3.0,AFminD (30)
P03496_full_1-230_Q14258_TPCCR_217-350_A_101,1.0,1.0,AFminD (30)
P03496_full_1-230_Q14258_TPCCR_217-350_A_101,1.0,1.0,AFminD (30)
P03496_full_1-230_Q14258_TPCCR_217-350_A_101,1.0,1.0,AFminD (30)
P03496_full_1-230_Q14258_TPCCR_217-350_A_101,1.0,1.0,AFminD (30)
P03496_full_1-230_Q14258_TPCCR_217-350_A_64,1.0,1.0,AFminD (30)
P03496_full_1-230_Q14258_TPCCR_217-350_A_64,1.0,1.0,AFminD (30)
P03496_full_1-230_Q14258_TPCCR_217-350_A_186,1.0,1.0,AFminD (30)
P03496_full_1-230_Q14258_TPCCR_217-350_A_186,1.0,1.0,AFminD (30)
P03496_full_1-230_Q14258_TPCCR_217-350_A_186,1.0,1.0,AFminD (30)
P03496_full_1-230_Q14258_TPCCR_217-350_A_186,1.0,1.0,AFminD (30)
P03496_full_1-230_Q14258_TPCCR_217-350_A_186,1.0,1.0,AFminD (30)
P03496_full_1-230_Q14258_TPCCR_217-350_A_68,1.0,1.0,AFminD (50)
P03496_full_1-230_Q14258_TPCCR_217-350_A_68,1.0,1.0,AFminD (50)
P03496_full_1-230_Q14258_TPCCR_217-350_A_186,1.0,1.0,AFminD (50)
P03496_full_1-230_Q14258_TPCCR_217-350_A_68,1.0,1.0,AFminD (50)
P03496_full_1-230_Q14258_TPCCR_217-350_A_68,1.0,1.0,AFminD (50)
P03496_full_1-230_Q14258_TPCCR_217-350_A_68,1.0,1.0,AFminD (50)
P03496_full_1-230_Q14258_TPCCR_217-350_A_186,1.0,1.0,AFminD (50)
P03496_full_1-230_Q14258_TPCCR_217-350_A_136,1.0,3.0,AFminD (50)
P03496_full_1-230_Q14258_TPCCR_217-350_A_136,1.0,3.0,AFminD (50)
P03496_full_1-230_Q14258_TPCCR_217-350_A_136,1.0,3.0,AFminD (50)
P03496_full_1-230_Q14258_TPCCR_217-350_A_136,1.0,3.0,AFminD (100)
P03496_full_1-230_Q14258_TPCCR_217-350_A_136,1.0,3.0,AFminD (100)
P03496_full_1-230_Q14258_TPCCR_217-350_A_136,1.0,3.0,AFminD (100)
P03496_full_1-230_Q14258_TPCCR_217-350_A_136,1.0,3.0,AFminD (100)
P03496_full_1-230_Q14258_TPCCR_217-350_A_136,1.0,3.0,AFminD (100)
P03496_full_1-230_Q14258_TPCCR_217-350_A_64,1.0,1.0,AFminD (30)
P03496_full_1-230_Q14258_TPCCR_217-350_A_186,1.0,1.0,AFminD (50)
P03496_full_1-230_Q14258_TPCCR_217-350_A_186,1.0,1.0,AFminD (50)
P03496_full_1-230_Q14258_TPCCR_217-350_A_136,1.0,3.0,AFminD (50)
P03496_full_1-230_Q14258_TPCCR_217-350_A_136,1.0,3.0,AFminD (50)
P03496_full_1-230_Q14258_TPCCR_217-350_A_186,1.0,1.0,AFminD (50)
P32372_full_1-648_Q09761_DRRSSD_326-677_A_39,0.407,6.0,AFminD (30)
P32372_full_1-648_Q09761_DRRSSD_326-677_A_39,0.407,6.0,AFminD (50)
P32372_full_1-648_Q09761_DRRSSD_326-677_A_14,0.407,6.0,AFminD (100)
P32372_full_1-648_Q09761_DRRSSD_326-677_A_39,0.407,6.0,AFminD (50)
P32372_full_1-648_Q09761_DRRSSD_326-677_A_39,0.407,6.0,AFminD (50)
P32372_full_1-648_Q09761_DRRSSD_326-677_A_39,0.407,6.0,AFminD (50)
P32372_full_1-648_Q09761_DRRSSD_326-677_A_14,0.407,6.0,AFminD (100)
P32372_full_1-648_Q09761_DRRSSD_326-677_A_14,0.407,6.0,AFminD (100)
P32372_full_1-648_Q09761_DRRSSD_326-677_A_14,0.407,6.0,AFminD (100)
P32372_full_1-648_Q09761_DRRSSD_326-677_A_14,0.407,6.0,AFminD (100)
P32372_full_1-648_Q09761_DRRSSD_326-677_A_39,0.407,6.0,AFminD (50)
P32372_full_1-648_Q09761_DRRSSD_326-677_A_39,0.407,6.0,AFminD (30)
P32372_full_1-648_Q09761_DRRSSD_326-677_A_39,0.407,6.0,AFminD (30)
P32372_full_1-648_Q09761_DRRSSD_326-677_A_39,0.407,6.0,AFminD (30)
P32372_full_1-648_Q09761_DRRSSD_326-677_A_39,0.407,6.0,AFminD (30)
P03182_full_1-191_Q9BXH1_B2BC3PUMOA_2-193_A_102,0.314,11.0,AFminD (100)
P03182_full_1-191_Q9BXH1_B2BC3PUMOA_2-193_A_102,0.314,11.0,AFminD (100)
P03182_full_1-191_Q9BXH1_B2BC3PUMOA_2-193_A_102,0.314,11.0,AFminD (100)
P03182_full_1-191_Q9BXH1_B2BC3PUMOA_2-193_A_102,0.314,11.0,AFminD (100)
P03182_full_1-191_Q9BXH1_B2BC3PUMOA_2-193_A_102,0.314,11.0,AFminD (100)
P32372_full_1-648_Q09761_DRRSSD_326-677_A_134,0.296,3.0,AFminD (50)
P32372_full_1-648_Q09761_DRRSSD_326-677_A_134,0.296,3.0,AFminD (100)
P32372_full_1-648_Q09761_DRRSSD_326-677_A_134,0.296,3.0,AFminD (100)
P32372_full_1-648_Q09761_DRRSSD_326-677_A_134,0.296,3.0,AFminD (50)
P32372_full_1-648_Q09761_DRRSSD_326-677_A_134,0.296,3.0,AFminD (100)
P32372_full_1-648_Q09761_DRRSSD_326-677_A_134,0.296,3.0,AFminD (30)
P32372_full_1-648_Q09761_DRRSSD_326-677_A_134,0.296,3.0,AFminD (50)
P32372_full_1-648_Q09761_DRRSSD_326-677_A_134,0.296,3.0,AFminD (30)
P32372_full_1-648_Q09761_DRRSSD_326-677_A_134,0.296,3.0,AFminD (30)
P32372_full_1-648_Q09761_DRRSSD_326-677_A_134,0.296,3.0,AFminD (50)
P32372_full_1-648_Q09761_DRRSSD_326-677_A_134,0.296,3.0,AFminD (100)
P32372_full_1-648_Q09761_DRRSSD_326-677_A_134,0.296,3.0,AFminD (100)
P32372_full_1-648_Q09761_DRRSSD_326-677_A_134,0.296,3.0,AFminD (50)
