pdb_id	idp_uniprot	receptor_uniprot	chain	chain_id	domain_name	domain_id	domain_location	max_sequence_overlap	perc_sequence_overlap_pdb	perc_max_overlap_domain	max_interacting_residues	perc_interacting_residues
7S5J	A3DCU2:1:24:7	A3DCU1:4:148:1	receptor	A	Peptidase C39 family	PF03412	10-142	121	0.8013245033112583	0.9097744360902256	37	0.9487179487179487
6GWJ	Q9BXV9:1:100:1	Q14657:1:143:1	idp	D	Domain of unknown function (DUF4611)	PF15387	3-98	48	0.96	0.5	23	0.92
6GWJ	Q9BXV9:1:100:1	Q14657:1:143:1	receptor	B	Transcription factor Pcc1	PF09341	63-135	73	0.8690476190476191	1.0	25	0.8928571428571429
6IEH	Q9H7Z3:2:104:163	P42285:8:972:71	receptor	B	Helicase conserved C-terminal domain	PF00271	447-528	82	0.08677248677248678	1.0	9	0.07377049180327869
6IEH	Q9H7Z3:2:104:163	P42285:8:972:71	receptor	B	DSHCT (NUC185) domain	PF08148	868-1037	170	0.17989417989417988	1.0	7	0.05737704918032787
6IEH	Q9H7Z3:2:104:163	P42285:8:972:71	receptor	B	Mtr4-like, beta-barrel domain	PF13234	646-841	196	0.2074074074074074	1.0	62	0.5081967213114754
6IUH	O75334:7:30:642	Q9Z272:7:126:645	receptor	B	G protein-coupled receptor kinase-interacting protein 1 C term	PF12205	652-764	113	0.9186991869918699	1.0	27	0.9310344827586207
6IUA	Q12888:1:22:1665	P52293:1:427:72	receptor	A	Armadillo/beta-catenin-like repeat	PF00514	109-149	41	0.0971563981042654	1.0	7	0.14583333333333334
6IUA	Q12888:1:22:1665	P52293:1:427:72	receptor	A	Armadillo/beta-catenin-like repeat	PF00514	151-190	40	0.0947867298578199	1.0	7	0.14583333333333334
6IUA	Q12888:1:22:1665	P52293:1:427:72	receptor	A	Armadillo/beta-catenin-like repeat	PF00514	324-364	41	0.0971563981042654	1.0	8	0.16666666666666666
6J0W	P40026:1:29:13	P38850:1:513:1	idp	D	DNA repair proteins Nse5 and Nse6	PF08691	1-452	29	1.0	0.06415929203539823	27	1.0
6J0W	P40026:1:29:13	P38850:1:513:1	receptor	B	BRCA1 C Terminus (BRCT) domain	PF00533	119-211	93	0.19254658385093168	1.0	23	0.45098039215686275
6J0W	P40026:1:29:13	P38850:1:513:1	receptor	B	twin BRCT domain	PF12738	380-434	55	0.11387163561076605	1.0	18	0.35294117647058826
6KK3	Q32ZE1:1:38:1418	Q32ZE1:1:154:1515	idp	A	Flavivirus non-structural protein NS2B	PF01002	1374-1498	38	1.0	0.304	35	1.0
